type_name,type_code,scenario,result,xml,adtg,roundtrip_xml,error_number,error_description
"Decimal","14","boundaries","ok","corpus/exhaustive/flat_Decimal_boundaries.xml","corpus/exhaustive/flat_Decimal_boundaries.adtg","corpus/exhaustive/flat_Decimal_boundaries.roundtrip.xml","",""
"Decimal","14","states","ok","corpus/exhaustive/flat_Decimal_states.xml","corpus/exhaustive/flat_Decimal_states.adtg","corpus/exhaustive/flat_Decimal_states.roundtrip.xml","",""
"Decimal","14","null_states","ok","corpus/exhaustive/flat_Decimal_null_states.xml","corpus/exhaustive/flat_Decimal_null_states.adtg","corpus/exhaustive/flat_Decimal_null_states.roundtrip.xml","",""
"Numeric","131","precision_scale_1_0","ok","corpus/exhaustive/flat_Numeric_precision_scale_1_0.xml","corpus/exhaustive/flat_Numeric_precision_scale_1_0.adtg","corpus/exhaustive/flat_Numeric_precision_scale_1_0.roundtrip.xml","",""
"Numeric","131","precision_scale_5_0","ok","corpus/exhaustive/flat_Numeric_precision_scale_5_0.xml","corpus/exhaustive/flat_Numeric_precision_scale_5_0.adtg","corpus/exhaustive/flat_Numeric_precision_scale_5_0.roundtrip.xml","",""
"Numeric","131","precision_scale_9_2","ok","corpus/exhaustive/flat_Numeric_precision_scale_9_2.xml","corpus/exhaustive/flat_Numeric_precision_scale_9_2.adtg","corpus/exhaustive/flat_Numeric_precision_scale_9_2.roundtrip.xml","",""
"Numeric","131","precision_scale_18_6","ok","corpus/exhaustive/flat_Numeric_precision_scale_18_6.xml","corpus/exhaustive/flat_Numeric_precision_scale_18_6.adtg","corpus/exhaustive/flat_Numeric_precision_scale_18_6.roundtrip.xml","",""
"Numeric","131","precision_scale_28_0","ok","corpus/exhaustive/flat_Numeric_precision_scale_28_0.xml","corpus/exhaustive/flat_Numeric_precision_scale_28_0.adtg","corpus/exhaustive/flat_Numeric_precision_scale_28_0.roundtrip.xml","",""
"Numeric","131","precision_scale_28_10","ok","corpus/exhaustive/flat_Numeric_precision_scale_28_10.xml","corpus/exhaustive/flat_Numeric_precision_scale_28_10.adtg","corpus/exhaustive/flat_Numeric_precision_scale_28_10.roundtrip.xml","",""
"Numeric","131","precision_scale_28_28","ok","corpus/exhaustive/flat_Numeric_precision_scale_28_28.xml","corpus/exhaustive/flat_Numeric_precision_scale_28_28.adtg","corpus/exhaustive/flat_Numeric_precision_scale_28_28.roundtrip.xml","",""
"Decimal","14","precision_scale_1_0","ok","corpus/exhaustive/flat_Decimal_precision_scale_1_0.xml","corpus/exhaustive/flat_Decimal_precision_scale_1_0.adtg","corpus/exhaustive/flat_Decimal_precision_scale_1_0.roundtrip.xml","",""
"Decimal","14","precision_scale_5_0","ok","corpus/exhaustive/flat_Decimal_precision_scale_5_0.xml","corpus/exhaustive/flat_Decimal_precision_scale_5_0.adtg","corpus/exhaustive/flat_Decimal_precision_scale_5_0.roundtrip.xml","",""
"Decimal","14","precision_scale_9_2","ok","corpus/exhaustive/flat_Decimal_precision_scale_9_2.xml","corpus/exhaustive/flat_Decimal_precision_scale_9_2.adtg","corpus/exhaustive/flat_Decimal_precision_scale_9_2.roundtrip.xml","",""
"Decimal","14","precision_scale_18_6","ok","corpus/exhaustive/flat_Decimal_precision_scale_18_6.xml","corpus/exhaustive/flat_Decimal_precision_scale_18_6.adtg","corpus/exhaustive/flat_Decimal_precision_scale_18_6.roundtrip.xml","",""
"Decimal","14","precision_scale_28_0","ok","corpus/exhaustive/flat_Decimal_precision_scale_28_0.xml","corpus/exhaustive/flat_Decimal_precision_scale_28_0.adtg","corpus/exhaustive/flat_Decimal_precision_scale_28_0.roundtrip.xml","",""
"Decimal","14","precision_scale_28_10","ok","corpus/exhaustive/flat_Decimal_precision_scale_28_10.xml","corpus/exhaustive/flat_Decimal_precision_scale_28_10.adtg","corpus/exhaustive/flat_Decimal_precision_scale_28_10.roundtrip.xml","",""
"Decimal","14","precision_scale_28_28","ok","corpus/exhaustive/flat_Decimal_precision_scale_28_28.xml","corpus/exhaustive/flat_Decimal_precision_scale_28_28.adtg","corpus/exhaustive/flat_Decimal_precision_scale_28_28.roundtrip.xml","",""
